Displacement	Force
0	1.2665
0.0002	3.1747
0.0015	44.5801
0.0043	147.2697
0.0076	259.5344
0.0118	386.9245
0.0165	511.9021
0.0212	619.8943
0.0257	710.8323
0.0301	789.0301
0.0344	856.8959
0.0386	918.2765
0.0429	977.1316
0.0471	1033.9479
0.0513	1089.5345
0.0556	1145.4404
0.0598	1200.6288
0.0641	1254.662
0.0683	1308.1387
0.0726	1360.3004
0.0768	1410.6471
0.081	1461.2039
0.0852	1510.4501
0.0894	1558.3997
0.0937	1607.2814
0.0979	1655.313
0.1021	1702.8851
0.1064	1750.8392
0.1107	1798.5623
0.1149	1845.4329
0.1191	1893.2888
0.1233	1941.0823
0.1275	1988.1544
0.1317	2035.8322
0.136	2084.7764
0.1403	2133.1006
0.1445	2181.2678
0.1487	2230.0796
0.153	2278.9893
0.1572	2327.3989
0.1614	2376.574
0.1657	2425.4561
0.1698	2473.8005
0.1741	2523.4045
0.1783	2573.0767
0.1826	2622.2971
0.1868	2672.5574
0.1911	2722.4346
0.1953	2771.3647
0.1995	2822.1145
0.2038	2872.8635
0.208	2922.5374
0.2122	2972.9131
0.2164	3023.3813
0.2207	3073.272
0.2249	3123.8872
0.2292	3175.3945
0.2334	3225.2395
0.2376	3274.938
0.2419	3325.6934
0.2461	3375.521
0.2503	3424.8823
0.2545	3473.8772
0.2588	3522.2886
0.263	3570.3499
0.2672	3620.2183
0.2715	3669.9492
0.2757	3718.7341
0.2799	3768.9512
0.2842	3819.1946
0.2883	3868.7029
0.2926	3919.9482
0.2969	3971.8386
0.3011	4022.915
0.3054	4074.7454
0.3096	4126.5088
0.3138	4177.5015
0.3181	4229.543
0.3223	4281.9751
0.3265	4333.9092
0.3307	4385.8604
0.335	4438.6587
0.3392	4491.2749
0.3434	4544.4385
0.3477	4598.5464
0.3519	4651.4404
0.3561	4703.6235
0.3603	4756.9731
0.3646	4810.751
0.3688	4864.1733
0.3731	4918.1958
0.3773	4972.8301
0.3815	5026.3081
0.3858	5081.1694
0.3901	5136.5376
0.3943	5190.5718
0.3985	5245.1826
0.4028	5300.3579
0.4069	5354.4531
0.4111	5409.2681
0.4154	5465.6387
0.4197	5520.8105
0.4239	5576.457
0.4281	5632.6201
0.4324	5687.7002
0.4365	5743.2383
0.4408	5799.8511
0.445	5855.791
0.4492	5911.2212
0.4535	5968.3745
0.4577	6025.3105
0.4619	6082.0391
0.4662	6140.5835
0.4705	6198.1582
0.4747	6254.3867
0.4789	6311.8076
0.4832	6369.7832
0.4874	6426.4526
0.4916	6483.7056
0.4959	6541.397
0.5001	6598.29
0.5043	6656.3208
0.5086	6715.0444
0.5128	6772.6191
0.517	6830.1782
0.5212	6888.3667
0.5254	6945.4419
0.5296	7002.8765
0.5339	7062.1279
0.5382	7120.6333
0.5424	7178.9365
0.5467	7238.4585
0.5509	7297.1372
0.5551	7354.8501
0.5594	7414.1919
0.5636	7473.5293
0.5678	7531.9204
0.572	7591.2432
0.5763	7650.6328
0.5805	7709.457
0.5847	7769.5542
0.589	7829.9106
0.5932	7888.7295
0.5974	7947.8901
0.6017	8007.9067
0.6059	8067.5244
0.6101	8127.9976
0.6144	8188.6689
0.6186	8248.3623
0.6228	8308.3145
0.6271	8369.3389
0.6314	8430.3184
0.6356	8490.3672
0.6398	8551.5352
0.644	8611.5205
0.6482	8671.4111
0.6524	8733.459
0.6567	8795.3096
0.661	8856.3027
0.6652	8918.0566
0.6695	8979.1592
0.6736	9038.5986
0.6779	9100.3057
0.6821	9162.2432
0.6863	9222.9287
0.6905	9284.5078
0.6948	9346.4209
0.699	9407.8633
0.7033	9470.2373
0.7076	9533.2627
0.7118	9594.3682
0.716	9655.3799
0.7202	9717.2725
0.7244	9778.8232
0.7287	9840.0205
0.7329	9902.5684
0.7372	9964.7715
0.7413	10025.7354
0.7456	10088.707
0.7499	10150.9521
0.7541	10211.5674
0.7583	10273.2959
0.7625	10334.6523
0.7667	10394.8809
0.771	10457.1025
0.7752	10519.6729
0.7795	10580.5371
0.7837	10642.2598
0.788	10703.5859
0.7922	10763.2988
0.7964	10824.0576
0.8007	10885.4287
0.8049	10945.2861
0.8091	11004.9893
0.8133	11065.4883
0.8176	11125.1494
0.8218	11184.585
0.8261	11245.0684
0.8303	11303.5107
0.8345	11360.9268
0.8387	11419.0566
0.843	11476.5547
0.8472	11532.9971
0.8514	11590.1992
0.8557	11646.2041
0.8599	11700.5762
0.8642	11756.0605
0.8684	11810.5537
0.8727	11862.7061
0.8769	11914.8281
0.8811	11965.8105
0.8853	12014.6104
0.8895	12064.0264
0.8938	12113.6592
0.898	12160.2432
0.9023	12205.7256
0.9065	12249.8408
0.9107	12290.2178
0.9149	12329.2021
0.9192	12367.3848
0.9234	12401.7402
0.9276	12432.0723
0.9318	12460.8037
0.9361	12485.0811
0.9403	12504.3105
0.9446	12520.373
0.9489	12528.8223
0.9531	12527.8633
0.9573	12520.0781
0.9616	12503.0156
0.9657	12473.1055
0.97	12434.6582
0.9742	12387.3018
0.9784	12331.6396
0.9827	12277.6963
0.9869	12230.8809
0.9912	12189.793
0.9954	12156.4727
0.9996	12131.7227
1.0038	12110.8721
1.008	12094.3721
1.0123	12082.959
1.0166	12072.6465
1.0208	12063.1416
1.0251	12056.7939
1.0293	12051.2783
1.0335	12047.0645
1.0377	12048.0938
1.042	12050.9482
1.0462	12053.5723
1.0504	12059.5098
1.0546	12066.4355
1.0588	12073.7471
1.0631	12083.6377
1.0674	12093.3545
1.0716	12100.1221
1.0758	12107.6543
1.08	12117.1846
1.0842	12126.1201
1.0885	12136.5234
1.0928	12148.2227
1.097	12158.4658
1.1012	12169.1631
1.1055	12182.9219
1.1097	12196.3262
